Created at,Description,Followers Count,Friends Count,Location,Profile Image Url,Statuses Count,User ID,User Name,text
Fri Oct 14 21:00:54 +0000 2022,Writing about the leading growth companies around the world.,255.0,229.0,Australia,http://pbs.twimg.com/profile_images/1521597319535153152/d4hRG1Rs_normal.jpg,1435.0,1.5810272879898583e+18,Cam McFarlane,@from100kto1m Going to be ingesting to see what $AAPL brings to the table
Fri Oct 14 21:00:53 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810272842278625e+18,skitontop,"$NET
#Winner 💸💰💸
https://t.co/MmIMKJhlRN
$NET gave us a nice pullback, on today 

$SPY $NDX $IWM $QQQ $BTC $ETH… https://t.co/GaeJjMMEOf"
Fri Oct 14 21:00:33 +0000 2022,,6.0,64.0,,http://pbs.twimg.com/profile_images/1545274778109485056/N8CRa-uo_normal.jpg,48.0,1.5810272028874015e+18,Just Charting,RT @ProblemSniper: Pin this if you want to. $META $AMZN $TSLA $AAPL $SPY $QQQ https://t.co/Y9hnxlSYpu
Fri Oct 14 21:00:32 +0000 2022,Bringing the latest technology news to your doorstep,40.0,2.0,,http://pbs.twimg.com/profile_images/1535009669571305498/5SQ18rtn_normal.png,35539.0,1.5810271990541517e+18,Techtelegraph,Why Apple Shares Are Falling – Apple (NASDAQ:AAPL) https://t.co/HINs0pNnbj
Fri Oct 14 21:00:18 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810271372842844e+18,skitontop,"Highest success rate and get instant help and updates and free trials join us 
https://t.co/MmIMKIZcDF

$VST, $TSLA… https://t.co/6J1IHG9TGs"
Fri Oct 14 21:00:13 +0000 2022,Hello 🤖 My name is Stonk Machine and I tweet daily trending stocks & cryptos.,345.0,7.0,"Boston, MA",http://pbs.twimg.com/profile_images/1491882975100911624/ufY0iaH4_normal.jpg,3815.0,1.5810271166067057e+18,Stonk Machine 🚀,"🚀 Today's Top 10 Active #Stocks 🚀
Fri, Oct 14, 2022 @ 04:00 PM EST
1. $AMD (-5.09%)
2. $TSLA (-7.55%)
3. $AAPL (-3.… https://t.co/Ir8mSxY3F2"
Fri Oct 14 21:00:10 +0000 2022,"Wrote 'Chaos Monkeys' (https://t.co/LHo7Hb5gz2). Formerly @facebook, (notoriously, briefly) @apple, currently @joinlincoln. גם זה יעבור 🇺🇲🇪🇸",133734.0,11817.0,High Desert Nevada,http://pbs.twimg.com/profile_images/1523142288892784640/yyQrxZ4U_normal.jpg,15283.0,1.5810271047699948e+18,Antonio García Martínez (agm.eth),"@WillOremus And that led to what?

GDPR only entrenched GOOG/FB further in their ads monopolies. And now AAPL is wr… https://t.co/Do9PybkCNS"
Fri Oct 14 21:00:02 +0000 2022,"News and events on global equities and commodities.
RT and shares of @business, @cnn, @reuters, @techcrunch, @verge",1038.0,21.0,NY USA,http://pbs.twimg.com/profile_images/1565688641267048449/6e90oSOj_normal.jpg,5843.0,1.581027073057239e+18,Market Times™,#TheVerge: A Paramount Plus annual subscription is 50 percent off with a free Fire TV Stick Lite $AAPL. Via:… https://t.co/HmHZFUrjC7
Fri Oct 14 21:00:01 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810270660611523e+18,skitontop,"$TWTR $ES $JD $BABA $BIDU $TME 
$SPY $QQQ $DIS $TSLA $SHOP
$AMD $AAPL $SQ $AMZN 
$EA $SEDG $MA $V $KO $PYPL $RCL… https://t.co/V6iaO3sdNN"
Fri Oct 14 20:58:53 +0000 2022,Options Trader & Educator 📊 @TradingView 📈 NOT a Financial Advisor 🤓 Educational Purpose Only 📚 https://t.co/tZmT0SViVd 🔗 Discord Link ⬇️,916.0,158.0,,http://pbs.twimg.com/profile_images/1540807344556314624/dOjj-BpK_normal.jpg,4834.0,1.5810267821864673e+18,KC Trades🎯,"ZERO red trades this week! 🙏🏼 100% win rate 💯 10/10 on alerts 🎯 My discord cost you $5/week, after that is all prof… https://t.co/IqyYlLsMz2"
Fri Oct 14 20:58:46 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.581026753283117e+18,skitontop,"Alerts
Update
Watchlist, Chart 
Discord joining link

https://t.co/MmIMKIZcDF

$AAL $NAKD $DYNT $INO  $SHLO $NIO… https://t.co/abtRrDByQs"
Fri Oct 14 20:58:27 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810266746316186e+18,skitontop,"Real-time trading alerts from our team of seasoned professionals, best trading room and global trading community. C… https://t.co/u6OZYXHxW1"
Fri Oct 14 20:57:49 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810265129915064e+18,skitontop,"Follow us to get instant updates and free trading analysis https://t.co/MmIMKIZcDF

$SPY $NDX $IWM $QQQ $BTC $ETH… https://t.co/sw5dnl9I07"
Fri Oct 14 20:57:40 +0000 2022,"Boss Lady, Bookish, Options Trader in my spare time $SPYgirl, Politically Opinionated. Oh and I’m a Pianist💋",414.0,231.0,Texas,http://pbs.twimg.com/profile_images/1577472847244664832/XvE769a8_normal.jpg,4742.0,1.581026477071831e+18,Sher❤,Love ending the week green💰 $SPY $AAPL $SPX
